score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
HAMA,1backWM,S3_D3,6,15,-0.42142857142857143,0.11769939585541633,0.7151251009242934,False,False
HAMA,1backWM,S3_D4,7,15,-0.43214285714285705,0.1076930375463979,0.7151251009242934,False,False
HAMA,1backWM,S3_D6,8,15,-0.3607142857142856,0.18655437415416348,0.7151251009242934,False,False
HAMA,1backWM,S4_D4,9,15,-0.39642857142857135,0.14349453144235366,0.7151251009242934,False,False
HAMA,1backWM,S4_D5,10,15,-0.021428571428571425,0.9395779040128779,1.0,False,False
HAMA,1backWM,S4_D7,11,15,-0.4464285714285714,0.09529321315352628,0.7151251009242934,False,False
HAMA,1backWM,S5_D2,12,15,-0.16785714285714282,0.5498555542278021,0.869701613689862,False,False
HAMA,1backWM,S5_D5,13,15,-0.32499999999999996,0.23722543823723394,0.7794550113509114,False,False
HAMA,1backWM,S5_D8,14,15,-0.1607142857142857,0.5671967045803448,0.869701613689862,False,False
HAMA,1backWM,S6_D3,15,15,-0.14285714285714282,0.6115222287644656,0.8753618078393689,False,False
HAMA,1backWM,S6_D6,16,15,-0.22142857142857136,0.42771371901637,0.8117988087815244,False,False
HAMA,1backWM,S7_D4,17,15,-0.25,0.3688462917839305,0.8117988087815244,False,False
HAMA,1backWM,S7_D6,18,15,0.028571428571428564,0.9194899083821858,1.0,False,False
HAMA,1backWM,S7_D7,19,15,-0.2321428571428571,0.40509874069364904,0.8117988087815244,False,False
HAMA,1backWM,S8_D5,20,15,-0.2821428571428571,0.30828445682005545,0.7878380563179195,False,False
HAMA,1backWM,S8_D7,21,15,-0.125,0.6571356681869506,0.8753618078393689,False,False
HAMA,1backWM,S8_D8,22,15,-0.07142857142857141,0.8002959873970545,0.9687793531648555,False,False
HAMA,VF,S1_D1,0,15,0.021428571428571425,0.9395779040128779,0.9596997645989476,False,False
HAMA,VF,S1_D3,1,15,0.33928571428571425,0.2160289253419548,0.9596997645989476,False,False
HAMA,VF,S2_D2,2,15,-0.014285714285714282,0.9596997645989476,0.9596997645989476,False,False
HAMA,VF,S2_D1,3,15,-0.0857142857142857,0.7613341261907667,0.9596997645989476,False,False
HAMA,VF,S2_D5,4,15,0.10357142857142855,0.7133796306287293,0.9596997645989476,False,False
HAMA,VF,S3_D1,5,15,-0.10714285714285714,0.7039010016261618,0.9596997645989476,False,False
HAMA,VF,S3_D3,6,15,-0.19999999999999998,0.47481396452216845,0.9596997645989476,False,False
HAMA,VF,S3_D4,7,15,-0.2785714285714285,0.3147094732307908,0.9596997645989476,False,False
HAMA,VF,S3_D6,8,15,-0.27499999999999997,0.32121117331937665,0.9596997645989476,False,False
HAMA,VF,S4_D4,9,15,-0.11428571428571425,0.6850657626568974,0.9596997645989476,False,False
HAMA,VF,S4_D5,10,15,0.06785714285714285,0.8101088187105132,0.9596997645989476,False,False
HAMA,VF,S4_D7,11,15,-0.175,0.5327481481378592,0.9596997645989476,False,False
HAMA,VF,S5_D2,12,15,0.039285714285714285,0.8894459296739486,0.9596997645989476,False,False
HAMA,VF,S5_D5,13,15,-0.16428571428571426,0.5584973732486013,0.9596997645989476,False,False
HAMA,VF,S5_D8,14,15,-0.1857142857142857,0.5075409629336736,0.9596997645989476,False,False
HAMA,VF,S6_D3,15,15,-0.3285714285714285,0.23180969720615965,0.9596997645989476,False,False
HAMA,VF,S6_D6,16,15,-0.2714285714285714,0.3277893068411728,0.9596997645989476,False,False
HAMA,VF,S7_D4,17,15,-0.1357142857142857,0.6296204418728145,0.9596997645989476,False,False
HAMA,VF,S7_D6,18,15,-0.2285714285714285,0.4125661704963605,0.9596997645989476,False,False
HAMA,VF,S7_D7,19,15,-0.06071428571428571,0.8298120954425187,0.9596997645989476,False,False
HAMA,VF,S8_D5,20,15,-0.13928571428571426,0.6205460876279013,0.9596997645989476,False,False
HAMA,VF,S8_D7,21,15,-0.24285714285714283,0.38312834183934164,0.9596997645989476,False,False
HAMA,VF,S8_D8,22,15,-0.035714285714285705,0.8994469934720875,0.9596997645989476,False,False
HAMA,SS,S1_D1,0,15,-0.017857142857142853,0.9496353041738619,0.9798442277615982,False,False
HAMA,SS,S1_D3,1,15,0.04642857142857142,0.8694915255450948,0.9523002422636753,False,False
HAMA,SS,S2_D2,2,15,-0.06785714285714285,0.8101088187105132,0.9523002422636753,False,False
HAMA,SS,S2_D1,3,15,0.1714285714285714,0.5412721760996332,0.9523002422636753,False,False
HAMA,SS,S2_D5,4,15,0.0964285714285714,0.732452863386731,0.9523002422636753,False,False
HAMA,SS,S3_D1,5,15,-0.007142857142857141,0.9798442277615982,0.9798442277615982,False,False
HAMA,SS,S3_D3,6,15,-0.075,0.7905107941552679,0.9523002422636753,False,False
HAMA,SS,S3_D4,7,15,-0.1607142857142857,0.5671967045803448,0.9523002422636753,False,False
HAMA,SS,S3_D6,8,15,-0.28928571428571426,0.2956653610043777,0.9523002422636753,False,False
HAMA,SS,S4_D4,9,15,-0.2821428571428571,0.30828445682005545,0.9523002422636753,False,False
HAMA,SS,S4_D5,10,15,-0.12142857142857141,0.6664011137233893,0.9523002422636753,False,False
HAMA,SS,S4_D7,11,15,-0.23571428571428568,0.3977029459032729,0.9523002422636753,False,False
HAMA,SS,S5_D2,12,15,-0.05714285714285713,0.8396998687415759,0.9523002422636753,False,False
HAMA,SS,S5_D5,13,15,-0.1357142857142857,0.6296204418728145,0.9523002422636753,False,False
HAMA,SS,S5_D8,14,15,-0.1464285714285714,0.602549920983054,0.9523002422636753,False,False
HAMA,SS,S6_D3,15,15,-0.4428571428571427,0.0982940655468714,0.9523002422636753,False,False
HAMA,SS,S6_D6,16,15,-0.41785714285714276,0.12117253602187843,0.9523002422636753,False,False
HAMA,SS,S7_D4,17,15,-0.14285714285714282,0.6115222287644656,0.9523002422636753,False,False
HAMA,SS,S7_D6,18,15,-0.3178571428571428,0.24829056581701822,0.9523002422636753,False,False
HAMA,SS,S7_D7,19,15,-0.22499999999999998,0.42010468690763497,0.9523002422636753,False,False
HAMA,SS,S8_D5,20,15,-0.11785714285714284,0.6757115292213043,0.9523002422636753,False,False
HAMA,SS,S8_D7,21,15,-0.22499999999999998,0.42010468690763497,0.9523002422636753,False,False
HAMA,SS,S8_D8,22,15,-0.2607142857142857,0.3479794598627936,0.9523002422636753,False,False
HAMA,Mean,S1_D1,0,15,0.13214285714285715,0.6387442188840664,0.8161731685740848,False,False
HAMA,Mean,S1_D3,1,15,0.18214285714285713,0.5158816817070393,0.7910185786174603,False,False
HAMA,Mean,S2_D2,2,15,-0.0035714285714285704,0.9899214068809781,0.9899214068809781,False,False
HAMA,Mean,S2_D1,3,15,0.14285714285714282,0.6115222287644656,0.8161731685740848,False,False
HAMA,Mean,S2_D5,4,15,0.06428571428571428,0.8199479653196377,0.9542839097588964,False,False
HAMA,Mean,S3_D1,5,15,-0.13928571428571426,0.6205460876279013,0.8161731685740848,False,False
HAMA,Mean,S3_D3,6,15,-0.21071428571428572,0.45095786521528514,0.7910185786174603,False,False
HAMA,Mean,S3_D4,7,15,-0.4071428571428571,0.13201266377985368,0.7878380563179195,False,False
HAMA,Mean,S3_D6,8,15,-0.21428571428571427,0.44314093482351435,0.7910185786174603,False,False
HAMA,Mean,S4_D4,9,15,-0.36428571428571427,0.18191025904581395,0.7878380563179195,False,False
HAMA,Mean,S4_D5,10,15,0.06071428571428571,0.8298120954425187,0.9542839097588964,False,False
